10001.00;1001;(null);15-05-2025 21:20:03
5825939518237911299195450822825373282687435522251940610491500281940001953620120056427622505637592472773533960258167662959510517858641587274457274679468128167868364368888706771356777014526289299415140586908383104107542453182587088337891688687129015091200.00;1001;(null);15-05-2025 21:21:46
10001.00;1001;(null);15-05-2025 21:22:12
100.00;1001;(null);15-05-2025 21:29:26
10.00;1001;(null);15-05-2025 21:37:52
1000.00;1001;(null);15-05-2025 21:39:06
10.00;1001;(null);15-05-2025 21:39:20
100.00;1002;1003;15-05-2025 21:42:27
0.00;1002;1003;15-05-2025 21:42:47
100.00;1002;1003;15-05-2025 21:43:49
100.00;1002;1003;15-05-2025 21:44:38
99.00;1001;1002;15-05-2025 21:47:05
98.00;1001;1002;15-05-2025 21:47:25
69.00;1001;1002;15-05-2025 21:50:18
100000.00;1001;(null);15-05-2025 21:50:42
10000.00;1001;1002;15-05-2025 21:50:55
